chlorophyll,current_speed,resident_detections,total_detections
1.0250407,0.35699672,109.0,955.0
1.0250407,0.35699672,806.0,955.0
1.1470388,0.37733048,841.0,897.0
1.1720157,0.39829743,15.0,870.0
1.1720157,0.39829743,827.0,870.0
1.4584868,0.4169936,123.0,1121.0
1.4584868,0.4169936,831.0,1121.0
1.4567657,0.42031705,178.0,1168.0
1.4567657,0.42031705,823.0,1168.0
1.4428787,0.41738155,68.0,1082.0
1.4428787,0.41738155,821.0,1082.0
1.6559124,0.3888833,57.0,903.0
1.6559124,0.3888833,824.0,903.0
1.5544789,0.36257175,842.0,842.0
1.2057915,0.34212524,827.0,827.0
0.9458629,0.29897666,115.0,1047.0
0.9458629,0.29897666,836.0,1047.0
0.8855263,0.2654506,128.0,1121.0
0.8855263,0.2654506,821.0,1121.0
0.8190247,0.25830156,112.0,1033.0
0.8190247,0.25830156,794.0,1033.0
0.8187946,0.24917676,157.0,1083.0
0.8187946,0.24917676,791.0,1083.0
0.9664798,0.25492054,44.0,1072.0
0.9664798,0.25492054,680.0,1072.0
0.8601946,0.27391332,87.0,1246.0
0.8601946,0.27391332,745.0,1246.0
0.84700453,0.2956704,121.0,1157.0
0.84700453,0.2956704,795.0,1157.0
0.8429074,0.33438262,101.0,1093.0
0.8429074,0.33438262,768.0,1093.0
0.9572729,0.31081164,58.0,694.0
0.9572729,0.31081164,489.0,694.0
1.1518974,0.31690946,656.0,738.0
1.3221213,0.317519,674.0,790.0
1.4861352,0.31929153,697.0,798.0
1.6951547,0.31432936,756.0,1092.0
1.822472,0.3437814,676.0,760.0
2.0057673,0.3887171,786.0,835.0
1.7300837,0.34607363,799.0,851.0
1.4976044,0.31064034,821.0,1045.0
1.2890222,0.30151457,827.0,974.0
1.0752754,0.28196982,824.0,837.0
1.1562449,0.27360588,787.0,852.0
1.1025677,0.31418037,45.0,869.0
1.1025677,0.31418037,773.0,869.0
0.9292403,0.34692043,819.0,820.0
1.1969628,0.3705467,791.0,896.0
1.3415046,0.38049525,837.0,918.0
1.1400313,0.42476612,80.0,887.0
1.1400313,0.42476612,807.0,887.0
1.232007,0.4216242,155.0,1057.0
1.232007,0.4216242,761.0,1057.0
1.6149119,0.44306713,96.0,1032.0
1.6149119,0.44306713,814.0,1032.0
1.8331821,0.42739004,160.0,1085.0
1.8331821,0.42739004,818.0,1085.0
1.7241855,0.39964363,52.0,963.0
1.7241855,0.39964363,834.0,963.0
1.8102989,0.35183266,60.0,1067.0
1.8102989,0.35183266,840.0,1067.0
1.8712132,0.29796803,42.0,965.0
1.8712132,0.29796803,822.0,965.0
2.0623693,0.25563216,61.0,962.0
2.0623693,0.25563216,813.0,962.0
1.9482551,0.24651536,241.0,1097.0
1.9482551,0.24651536,836.0,1097.0
1.4859737,0.24168484,87.0,939.0
1.4859737,0.24168484,801.0,939.0
1.3655572,0.24839611,191.0,1079.0
1.3655572,0.24839611,754.0,1079.0
1.4825785,0.24941224,185.0,1068.0
1.4825785,0.24941224,764.0,1068.0
1.4978061,0.26730835,212.0,1026.0
1.4978061,0.26730835,728.0,1026.0
1.4068785,0.28148806,75.0,843.0
1.4068785,0.28148806,726.0,843.0
1.3084567,0.30443358,682.0,774.0
1.469389,0.31141645,694.0,703.0
1.5392925,0.32758158,726.0,726.0
1.5933971,0.3419205,690.0,690.0
1.731354,0.36755767,643.0,676.0
1.8706319,0.35141426,558.0,698.0
2.0462804,0.33127758,709.0,828.0
2.113291,0.32589749,688.0,695.0
1.8342786,0.30556303,512.0,572.0
1.4241529,0.29379475,557.0,723.0
1.1443369,0.2898872,127.0,986.0
1.1443369,0.2898872,738.0,986.0
1.1082685,0.30911392,95.0,984.0
1.1082685,0.30911392,790.0,984.0
1.0111012,0.32514012,24.0,797.0
1.0111012,0.32514012,738.0,797.0
0.9424739,0.37225544,24.0,746.0
0.9424739,0.37225544,722.0,746.0
1.1658306,0.37193376,147.0,159.0
1.394659,0.39580917,676.0,676.0
1.3687468,0.4079799,750.0,784.0
1.1464317,0.3936221,32.0,727.0
1.1464317,0.3936221,694.0,727.0
1.155655,0.38261735,53.0,703.0
1.155655,0.38261735,649.0,703.0
1.2782481,0.3517835,101.0,716.0
1.2782481,0.3517835,614.0,716.0
1.2522012,0.34334993,492.0,492.0
1.2419419,0.28781995,51.0,494.0
1.2419419,0.28781995,442.0,494.0
1.0645574,0.2803883,134.0,589.0
1.0645574,0.2803883,455.0,589.0
0.7690825,0.23195313,91.0,603.0
0.7690825,0.23195313,511.0,603.0
0.8486514,0.22357276,64.0,669.0
0.8486514,0.22357276,586.0,669.0
0.8309983,0.21154317,121.0,671.0
0.8309983,0.21154317,550.0,671.0
0.8014107,0.21312758,103.0,717.0
0.8014107,0.21312758,614.0,717.0
0.7975832,0.26169604,561.0,561.0
0.86132574,0.2751565,456.0,456.0
1.0441451,0.3598384,14.0,527.0
1.0441451,0.3598384,513.0,527.0
1.2969222,0.39809397,198.0,724.0
1.2969222,0.39809397,526.0,724.0
1.488395,0.46733102,51.0,737.0
1.488395,0.46733102,685.0,737.0
1.3781021,0.4291094,61.0,716.0
1.3781021,0.4291094,655.0,716.0
1.1854446,0.4109915,28.0,689.0
1.1854446,0.4109915,661.0,689.0
1.1979808,0.4005995,41.0,776.0
1.1979808,0.4005995,735.0,776.0
1.1921377,0.3667846,747.0,798.0
1.2677851,0.3506964,674.0,674.0
1.3114768,0.32214528,21.0,644.0
1.3114768,0.32214528,622.0,644.0
1.3006698,0.29999357,26.0,724.0
1.3006698,0.29999357,698.0,724.0
1.1647666,0.29203814,722.0,722.0
1.1380033,0.30033547,544.0,544.0
1.037807,0.30839497,694.0,694.0
1.061199,0.3224935,683.0,683.0
1.0373441,0.3638546,704.0,704.0
1.2174814,0.3802274,728.0,728.0
1.3450977,0.38700178,29.0,532.0
1.3450977,0.38700178,502.0,532.0
1.3740184,0.41887286,2.0,690.0
1.3740184,0.41887286,688.0,690.0
1.3832657,0.41760838,710.0,710.0
1.1176951,0.35907578,7.0,675.0
1.1176951,0.35907578,668.0,675.0
1.0100378,0.34005496,774.0,774.0
0.47416046,0.28774077,612.0,612.0
0.45487306,0.24777591,627.0,627.0
0.6461203,0.21626163,584.0,584.0
0.8091116,0.19494438,497.0,497.0
0.873174,0.19414932,580.0,580.0
0.9555588,0.22007218,441.0,543.0
0.9241848,0.2557779,66.0,494.0
0.9241848,0.2557779,397.0,494.0
0.92070234,0.29871064,205.0,1019.0
0.92070234,0.29871064,567.0,1019.0
0.94337213,0.31552935,124.0,707.0
0.94337213,0.31552935,582.0,707.0
0.9378114,0.3404772,107.0,655.0
0.9378114,0.3404772,548.0,655.0
0.9813962,0.36744696,91.0,724.0
0.9813962,0.36744696,628.0,724.0
1.0710981,0.40036607,436.0,676.0
1.0566592,0.4209796,85.0,727.0
1.0566592,0.4209796,469.0,727.0
0.9228753,0.4170568,640.0,667.0
0.4236517,0.40566498,23.0,646.0
0.4236517,0.40566498,618.0,646.0
0.36032152,0.37727982,7.0,554.0
0.36032152,0.37727982,541.0,554.0
0.55448616,0.33418947,51.0,560.0
0.55448616,0.33418947,499.0,560.0
0.6249965,0.2865547,11.0,746.0
0.6249965,0.2865547,553.0,746.0
0.72413945,0.26492032,42.0,790.0
0.72413945,0.26492032,588.0,790.0
0.8114219,0.279634,126.0,770.0
0.8114219,0.279634,644.0,770.0
0.7642833,0.3085357,106.0,779.0
0.7642833,0.3085357,666.0,779.0
0.80948496,0.3055479,92.0,791.0
0.80948496,0.3055479,681.0,791.0
0.8497219,0.3313922,119.0,773.0
0.8497219,0.3313922,651.0,773.0
0.89904755,0.3579327,50.0,720.0
0.89904755,0.3579327,649.0,720.0
0.9766365,0.37317798,17.0,719.0
0.9766365,0.37317798,654.0,719.0
0.9671477,0.38029334,635.0,716.0
0.8860111,0.37953973,31.0,607.0
0.8860111,0.37953973,576.0,607.0
0.83638364,0.3448931,14.0,555.0
0.83638364,0.3448931,541.0,555.0
0.62829053,0.3189705,90.0,724.0
0.62829053,0.3189705,625.0,724.0
0.6295892,0.28333434,26.0,649.0
0.6295892,0.28333434,588.0,649.0
0.6566256,0.28723672,52.0,678.0
0.6566256,0.28723672,622.0,678.0
0.7401035,0.24607037,98.0,727.0
0.7401035,0.24607037,571.0,727.0
0.7098299,0.20144576,182.0,805.0
0.7098299,0.20144576,619.0,805.0
0.7400007,0.18265197,82.0,683.0
0.7400007,0.18265197,598.0,683.0
0.67788696,0.22964194,50.0,608.0
0.67788696,0.22964194,555.0,608.0
0.73194987,0.2479599,25.0,636.0
0.73194987,0.2479599,561.0,636.0
0.8578587,0.3247064,87.0,663.0
0.8578587,0.3247064,574.0,663.0
0.88980746,0.34514484,34.0,557.0
0.88980746,0.34514484,520.0,557.0
0.9048835,0.3529011,21.0,572.0
0.9048835,0.3529011,535.0,572.0
1.1136333,0.3708549,11.0,521.0
1.1136333,0.3708549,509.0,521.0
0.9385358,0.40175146,224.0,762.0
0.9385358,0.40175146,534.0,762.0
0.9315803,0.42345762,40.0,658.0
0.9315803,0.42345762,553.0,658.0
0.96890974,0.419656,557.0,708.0
0.7806901,0.40788364,540.0,564.0
0.48841637,0.38228416,621.0,621.0
0.79852533,0.3403932,637.0,647.0
0.87947667,0.29612446,635.0,635.0
0.5579388,0.26428562,450.0,451.0
