date,current,wind,salinity,temperature,u,v
2011-10-16,0.3090252,5.224574,35.790863,22.223919,-0.005861783,0.0488039
2011-10-17,0.3742168,10.803318,35.799168,22.230238,-0.20798472,0.09234362
2011-10-18,0.39467537,12.719747,35.746742,22.415009,-0.2609378,-0.04692727
2011-10-19,0.2677009,11.054748,35.72467,22.485888,-0.104409575,-0.06523454
2011-10-20,0.261832,9.97517,35.727123,22.463358,-0.07704277,-0.051654704
2011-10-21,0.2997108,8.232718,35.726994,22.471464,-0.060453843,-0.07399774
2011-10-22,0.3018636,7.767246,35.729717,22.463903,-0.041653607,-0.03879762
2011-10-23,0.36667624,7.4976993,35.733307,22.44258,-0.0302722,-0.04048111
2011-10-24,0.41608456,5.299509,35.740242,22.44752,0.047540642,-0.031322528
2011-10-25,0.47225624,3.1398249,35.744606,22.43073,0.04111992,-0.03455331
2011-10-26,0.4879126,2.9319983,35.749695,22.416067,0.0573796,-0.04376688
2011-10-27,0.49844918,4.5429416,35.756916,22.424793,0.028278027,-0.01536604
2011-10-28,0.49081263,5.9067097,35.75999,22.443348,-0.06529749,0.039256446
2011-10-29,0.46952584,4.3729258,35.759686,22.402555,-0.047793392,0.022366485
2011-10-30,0.42558628,3.3276927,35.76068,22.413563,0.013090653,-0.009317997
2011-10-31,0.4375677,5.160637,35.76684,22.49178,0.04568265,-0.00081623736
2011-11-01,0.4577896,9.423506,35.736267,22.726845,-0.050812237,-0.06706422
2011-11-02,0.430467,4.3412485,35.718002,22.816675,0.14347577,-0.21171622
2011-11-03,0.2810482,6.169249,35.757442,22.677631,0.145006,-0.1115515
2011-11-04,0.2674428,4.782557,35.771614,22.724358,0.071707465,-0.067816906
2011-11-05,0.27566144,6.377975,35.77526,22.755518,-0.0057498156,-0.037042413
2011-11-06,0.30590647,5.903293,35.781494,22.735159,0.036465365,-0.01282519
2011-11-07,0.32544327,5.548447,35.785328,22.82103,-0.013950902,0.009079353
2011-11-08,0.36676744,5.7025867,35.788074,22.878517,0.04182466,-0.024414862
2011-11-09,0.37365568,4.776312,35.791912,22.957466,0.06486454,-0.015927762
2011-11-10,0.3719207,3.894483,35.79416,23.036888,0.04823038,-0.019477738
2011-11-11,0.3855457,5.481985,35.798107,23.074593,0.021505056,-0.006768729
2011-11-12,0.39184016,5.544268,35.802773,23.168924,-0.009316575,0.0074451193
2011-11-13,0.36918682,4.9493732,35.8056,23.261402,-0.00440419,-0.0056325863
2011-11-14,0.3740361,4.242844,35.808323,23.40894,-0.080167,0.024657141
2011-11-15,0.35932717,3.4604962,35.810585,23.3988,-0.022093443,-0.046254333
2011-11-16,0.3604902,5.6310625,35.812668,23.50161,-0.043390937,-0.0037533522
2011-11-17,0.35366762,6.5755343,35.815765,23.518412,-0.07292849,-0.0225559
2011-11-18,0.33104375,6.3036146,35.818348,23.401474,-0.029064342,-0.014538037
2011-11-19,0.33145243,6.3219366,35.820297,23.412054,-0.056416366,-0.021961588
2011-11-20,0.31998828,5.6530924,35.821907,23.42598,-0.037980545,-0.0024649384
2011-11-21,0.34786424,5.744587,35.82276,23.468287,-0.03304351,-0.017631643
2011-11-22,0.4024448,6.2644796,35.82617,23.464767,0.029990248,-0.040520545
2011-11-23,0.4510528,5.817184,35.8271,23.524118,0.049853317,-0.054519683
2011-11-24,0.4825836,5.590545,35.82614,23.587976,-0.0014196719,-0.027888866
2011-11-25,0.5101197,5.733175,35.823685,23.646387,-0.07108678,0.016204476
2011-11-26,0.50872827,5.018538,35.822594,23.67032,-0.06391754,-0.007675336
2011-11-27,0.5025896,3.7479012,35.827084,23.795166,-0.047966946,0.0006033793
2011-11-28,0.49033916,5.378231,35.827724,23.92396,-0.10889652,-0.0280899
2011-11-29,0.4775998,8.07041,35.828266,23.971884,-0.15957709,0.028794011
2011-11-30,0.4250395,5.5540543,35.831577,24.011679,-0.12130534,0.025294162
2011-12-01,0.4179339,5.03236,35.831116,24.049152,-0.06535065,0.01476583
2011-12-02,0.44902968,12.69912,35.8288,24.095964,-0.3061144,0.23887385
2011-12-03,0.42153808,11.814669,35.832203,23.633541,-0.34775886,0.15313296
2011-12-04,0.3220061,7.760957,35.8163,23.666002,-0.26110366,0.073415644
2011-12-05,0.27186394,8.354964,35.7843,23.743977,-0.15052867,0.002510122
2011-12-06,0.36451194,10.783172,35.77283,23.856073,-0.2513242,0.007912546
2011-12-07,0.35902506,8.754789,35.69499,24.021048,-0.18634138,-0.16644013
2011-12-08,0.3669657,8.944846,35.72144,24.11491,-0.16699842,0.10340876
